iter	Passed	Remaining
0	2	1132
1	3	849
2	4	748
3	5	673
4	6	635
5	8	667
6	9	679
7	10	652
8	11	638
9	13	658
10	14	659
11	16	657
12	17	664
13	19	664
14	20	673
15	22	682
16	24	685
17	25	685
18	28	715
19	29	714
20	31	712
21	32	708
22	34	705
23	35	700
24	36	701
25	38	704
26	40	705
27	41	703
28	43	700
29	44	699
30	46	701
31	47	699
32	49	697
33	50	698
34	52	699
35	54	701
36	55	700
37	56	690
38	58	687
39	59	683
40	60	679
41	62	677
42	62	668
43	63	662
44	65	659
45	67	662
46	68	663
47	70	660
48	71	653
49	72	654
50	74	654
51	75	652
52	77	651
53	78	650
54	80	649
55	81	650
56	83	649
57	85	651
58	87	650
59	88	648
60	90	652
61	92	650
62	93	648
63	94	646
64	96	645
65	97	643
66	99	640
67	100	639
68	102	638
69	103	636
70	105	635
71	106	633
72	108	632
73	109	631
74	111	629
75	112	627
76	113	625
77	115	622
78	116	622
79	118	620
80	119	618
81	121	617
82	122	614
83	123	612
84	125	610
85	126	609
86	129	612
87	130	611
88	131	609
89	133	608
90	134	606
91	136	605
92	137	603
93	139	603
94	141	601
95	142	600
96	143	597
97	145	596
98	147	595
99	148	595
100	150	593
101	151	592
102	153	590
103	154	590
104	156	589
105	158	587
106	159	586
107	161	584
108	162	583
109	164	584
110	166	583
111	168	584
112	170	583
113	172	582
114	173	580
115	175	579
116	176	577
117	178	576
118	180	577
119	182	576
120	183	575
121	185	573
122	186	571
123	188	570
124	189	568
125	190	566
126	192	564
127	193	562
128	195	561
129	196	559
130	197	557
131	199	556
132	201	554
133	202	553
134	204	553
135	206	552
136	207	550
137	209	548
138	210	547
139	212	546
140	214	545
141	215	543
142	217	542
143	218	540
144	220	539
145	221	538
146	223	536
147	225	535
148	226	534
149	228	532
150	229	531
151	231	529
152	232	528
153	234	526
154	236	525
155	237	523
156	238	522
157	240	520
158	243	521
159	244	520
160	246	519
161	248	517
162	249	516
163	251	514
164	252	512
165	253	510
166	255	509
167	257	507
168	258	506
169	260	505
170	262	504
171	263	502
172	264	500
173	266	499
174	267	497
175	269	495
176	270	494
177	272	492
178	273	491
179	275	489
180	277	488
181	278	486
182	280	485
183	281	483
184	283	482
185	284	480
186	286	478
187	287	477
188	289	476
189	291	475
190	292	473
191	294	472
192	295	470
193	297	469
194	298	467
195	300	465
196	302	464
197	303	463
198	305	461
199	306	460
200	308	458
201	309	456
202	311	455
203	312	453
204	314	452
205	315	450
206	317	449
207	319	449
208	322	448
209	324	447
210	326	446
211	327	445
212	329	444
213	331	442
214	332	441
215	334	439
216	336	438
217	337	436
218	339	435
219	340	433
220	342	432
221	344	430
222	345	429
223	347	427
224	348	426
225	350	424
226	351	423
227	353	421
228	354	419
229	356	418
230	358	417
231	359	415
232	361	414
233	362	412
234	364	410
235	365	409
236	367	407
237	368	406
238	370	404
239	371	402
240	373	401
241	375	400
242	376	398
243	378	396
244	379	394
245	382	394
246	384	393
247	385	392
248	387	390
249	389	389
250	391	388
251	392	386
252	394	385
253	396	383
254	397	382
255	399	380
256	400	378
257	402	377
258	404	375
259	405	374
260	407	372
261	408	371
262	410	369
263	412	368
264	413	367
265	415	365
266	417	363
267	418	362
268	420	360
269	421	359
270	423	357
271	424	355
272	426	354
273	427	352
274	429	351
275	430	349
276	432	348
277	434	347
278	436	345
279	438	344
280	439	342
281	441	341
282	442	339
283	444	337
284	445	336
285	447	334
286	448	333
287	450	331
288	452	330
289	454	328
290	455	327
291	457	325
292	458	324
293	460	322
294	461	320
295	462	318
296	464	317
297	466	315
298	467	314
299	469	312
300	470	311
301	472	309
302	473	307
303	475	306
304	476	304
305	478	303
306	480	301
307	481	300
308	483	298
309	485	297
310	486	295
311	488	294
312	490	292
313	491	291
314	494	290
315	495	288
316	497	287
317	499	285
318	500	284
319	502	282
320	503	280
321	505	279
322	506	277
323	508	276
324	509	274
325	511	272
326	513	271
327	514	269
328	516	268
329	517	266
330	518	264
331	520	263
332	522	261
333	523	260
334	525	258
335	526	257
336	528	255
337	529	253
338	532	252
339	533	251
340	535	249
341	536	247
342	538	246
343	539	244
344	541	243
345	543	241
346	545	240
347	546	238
348	548	237
349	549	235
350	550	233
351	552	232
352	554	230
353	556	229
354	557	227
355	559	226
356	560	224
357	561	222
358	563	221
359	565	219
360	566	218
361	568	216
362	570	215
363	571	213
364	572	211
365	574	210
366	575	208
367	577	207
368	578	205
369	580	203
370	581	202
371	583	200
372	585	199
373	586	197
374	588	196
375	589	194
376	591	192
377	592	191
378	594	189
379	596	188
380	598	186
381	599	185
382	601	183
383	602	182
384	604	180
385	606	179
386	607	177
387	609	175
388	610	174
389	612	172
390	613	171
391	615	169
392	616	167
393	618	166
394	619	164
395	621	163
396	623	161
397	624	160
